symbol,allow_entry_days,last_allow_entry_date
LGI,11,2026-02-06
KYN,8,2026-02-03
BUI,8,2026-02-06
BRC,8,2026-02-05
EVT,8,2026-02-06
VOD,7,2026-02-02
NMAI,7,2026-02-04
ROL,6,2026-02-06
RIV,6,2026-02-06
RPRX,6,2026-02-06
CHCT,5,2026-02-04
HASI,5,2026-02-06
DPG,5,2026-02-06
ETV,5,2026-02-02
WCC,5,2026-02-03
HNI,5,2026-02-06
MBINL,5,2026-02-04
TEI,5,2026-02-04
NATR,5,2026-02-02
CVEO,5,2026-02-05
USAC,4,2026-02-06
SGU,4,2026-02-03
TTC,4,2026-02-04
EMD,4,2026-02-06
VMI,4,2026-02-03
PDS,4,2026-02-03
SCD,4,2026-02-06
BCO,4,2026-02-06
VFL,4,2026-02-05
BDJ,4,2026-02-02
PDO,4,2026-02-06
RMM,4,2026-02-04
ACP,3,2026-02-04
EDF,3,2026-02-05
FLC,3,2026-02-05
EHI,3,2026-02-02
EOD,3,2026-02-02
ETG,3,2026-02-02
JPC,3,2026-02-06
RA,3,2026-02-06
MBBC,3,2026-02-06
AVBH,3,2026-02-03
ESE,3,2026-02-03
NGL,3,2026-02-02
SND,2,2026-02-03
RRX,2,2026-02-02
JOUT,2,2026-02-04
HIFS,2,2026-02-06
KOP,2,2026-02-06
PKST,2,2026-02-02
MEC,2,2026-02-06
MRK,2,2026-02-02
AFB,2,2026-02-04
BXMX,2,2026-02-03
AOD,2,2026-02-06
ACA,2,2026-02-05
MMU,2,2026-02-03
PGZ,2,2026-02-06
PFO,2,2026-02-02
PCQ,2,2026-02-03
HST,2,2026-02-04
ZTR,2,2026-02-06
GLU,2,2026-02-06
CCK,1,2026-02-02
SWKHL,1,2026-02-06
ASRV,1,2026-02-02
THO,1,2026-02-04
IMXI,1,2026-02-06
BVFL,1,2026-02-06
AGNCN,1,2026-02-06
XWIN,1,2026-02-04
EXAS,1,2026-02-06
HI,1,2026-02-06
HQI,1,2026-02-03
LQDT,1,2026-02-02
LNKB,1,2026-02-04
ITRN,1,2026-02-03
MVF,1,2026-02-03
ALF,1,2026-02-06
WLKP,1,2026-02-02
PGAC,1,2026-02-06
SDHY,1,2026-02-06
COP,1,2026-02-04
MMT,1,2026-02-06
CXE,1,2026-02-05
BTA,1,2026-02-03
DHF,1,2026-02-02
IGD,1,2026-02-06
HEQ,1,2026-02-06
CHSCN,1,2026-02-06
PDT,1,2026-02-04
PFL,1,2026-02-06
SBI,1,2026-02-05
