symbol,allow_entry_days,last_allow_entry_date
LGI,11,2026-02-06 00:00:00
BAP,9,2026-01-21 00:00:00
RVT,8,2026-01-26 00:00:00
KYN,8,2026-02-03 00:00:00
RMT,8,2026-01-22 00:00:00
NGVT,8,2026-01-23 00:00:00
BUI,8,2026-02-06 00:00:00
BRC,8,2026-02-05 00:00:00
EVT,8,2026-02-06 00:00:00
CHW,8,2026-01-29 00:00:00
RILYN,8,2026-01-21 00:00:00
NDSN,8,2026-01-15 00:00:00
FOF,8,2026-01-28 00:00:00
NFJ,7,2026-01-22 00:00:00
NCV,7,2026-01-28 00:00:00
ECVT,7,2026-01-22 00:00:00
MUFG,7,2026-01-16 00:00:00
GREEL,7,2026-01-14 00:00:00
CTS,7,2026-01-22 00:00:00
CALY,7,2026-01-16 00:00:00
VOD,7,2026-02-02 00:00:00
ENS,7,2026-01-16 00:00:00
IDE,7,2026-01-21 00:00:00
NMAI,7,2026-02-04 00:00:00
KF,7,2026-01-22 00:00:00
BCAT,6,2026-01-23 00:00:00
NMR,6,2026-01-15 00:00:00
ROL,6,2026-02-06 00:00:00
CPBI,6,2026-01-26 00:00:00
CMI,6,2026-01-15 00:00:00
ONTO,6,2026-01-14 00:00:00
RIV,6,2026-02-06 00:00:00
RPRX,6,2026-02-06 00:00:00
KGC,6,2026-01-13 00:00:00
ALSN,6,2026-01-14 00:00:00
GDV,6,2026-01-26 00:00:00
EMBJ,6,2026-01-21 00:00:00
GLQ,6,2026-01-30 00:00:00
GROY,6,2026-01-20 00:00:00
CHCT,5,2026-02-04 00:00:00
KWR,5,2026-01-15 00:00:00
CSTM,5,2026-01-15 00:00:00
HASI,5,2026-02-06 00:00:00
LCII,5,2026-01-13 00:00:00
PSTL,5,2026-01-16 00:00:00
STEP,5,2026-01-12 00:00:00
MG,5,2026-01-21 00:00:00
MKSI,5,2026-01-15 00:00:00
ULTA,5,2026-01-21 00:00:00
CAPL,5,2026-01-22 00:00:00
NCZ,5,2026-01-28 00:00:00
BCX,5,2026-01-29 00:00:00
DHC,5,2026-01-15 00:00:00
SNDR,5,2026-01-15 00:00:00
CHRW,5,2026-01-16 00:00:00
AMTM,5,2026-01-29 00:00:00
DPG,5,2026-02-06 00:00:00
IHD,5,2026-01-20 00:00:00
ETV,5,2026-02-02 00:00:00
WCC,5,2026-02-03 00:00:00
HNI,5,2026-02-06 00:00:00
MTRN,5,2026-01-15 00:00:00
MFAN,5,2026-01-30 00:00:00
MLI,5,2026-01-13 00:00:00
WWD,5,2026-01-15 00:00:00
RILYK,5,2026-01-29 00:00:00
MBINL,5,2026-02-04 00:00:00
NHS,5,2026-01-29 00:00:00
TEI,5,2026-02-04 00:00:00
SMFG,5,2026-01-15 00:00:00
STK,5,2026-01-28 00:00:00
FGNXP,5,2026-01-13 00:00:00
NATR,5,2026-02-02 00:00:00
CECO,5,2026-01-27 00:00:00
HSBC,5,2026-01-27 00:00:00
BGY,5,2026-01-27 00:00:00
TX,5,2026-01-21 00:00:00
ASX,5,2026-01-15 00:00:00
EXPD,5,2026-01-15 00:00:00
CVEO,5,2026-02-05 00:00:00
APG,4,2026-01-13 00:00:00
CCD,4,2026-01-22 00:00:00
RBC,4,2026-01-15 00:00:00
CAE,4,2026-01-16 00:00:00
CGO,4,2026-01-28 00:00:00
USAC,4,2026-02-06 00:00:00
AAUC,4,2026-01-29 00:00:00
MATX,4,2026-01-15 00:00:00
DCI,4,2026-01-15 00:00:00
IMOS,4,2026-01-12 00:00:00
AME,4,2026-01-16 00:00:00
CIB,4,2026-01-09 00:00:00
IX,4,2026-01-12 00:00:00
FLS,4,2026-01-16 00:00:00
PHAR,4,2026-01-27 00:00:00
HCC,4,2026-01-14 00:00:00
BC,4,2026-01-09 00:00:00
JOF,4,2026-01-23 00:00:00
GGB,4,2026-01-13 00:00:00
IAE,4,2026-01-27 00:00:00
SGU,4,2026-02-03 00:00:00
TTC,4,2026-02-04 00:00:00
HUBG,4,2026-01-12 00:00:00
GTX,4,2026-01-13 00:00:00
EXG,4,2026-01-12 00:00:00
EMD,4,2026-02-06 00:00:00
CW,4,2026-01-16 00:00:00
NEM,4,2026-01-20 00:00:00
SQM,4,2026-01-14 00:00:00
ENIC,4,2026-01-27 00:00:00
ZEUS,4,2026-01-15 00:00:00
VMI,4,2026-02-03 00:00:00
ROST,4,2026-01-13 00:00:00
PHK,4,2026-01-21 00:00:00
COHU,4,2026-01-15 00:00:00
NVMI,4,2026-01-14 00:00:00
GLO,4,2026-01-16 00:00:00
PDS,4,2026-02-03 00:00:00
MEOH,4,2026-01-09 00:00:00
AMAT,4,2026-01-12 00:00:00
AZTA,4,2026-01-22 00:00:00
WAB,4,2026-01-21 00:00:00
SCD,4,2026-02-06 00:00:00
IVZ,4,2026-01-15 00:00:00
IAF,4,2026-01-29 00:00:00
AEF,4,2026-01-13 00:00:00
HXL,4,2026-01-15 00:00:00
DCO,4,2026-01-15 00:00:00
BCO,4,2026-02-06 00:00:00
VFL,4,2026-02-05 00:00:00
BDJ,4,2026-02-02 00:00:00
NML,4,2026-01-30 00:00:00
GGN,4,2026-01-26 00:00:00
PDO,4,2026-02-06 00:00:00
ATRO,4,2026-01-09 00:00:00
NTRS,4,2026-01-15 00:00:00
KLAC,4,2026-01-13 00:00:00
TPB,4,2026-01-28 00:00:00
UPS,4,2026-01-09 00:00:00
HTO,4,2026-01-15 00:00:00
RGT,4,2026-01-28 00:00:00
BELFB,4,2026-01-13 00:00:00
RMM,4,2026-02-04 00:00:00
CRL,4,2026-01-09 00:00:00
ECF,3,2026-01-28 00:00:00
ACV,3,2026-01-08 00:00:00
WERN,3,2026-01-09 00:00:00
ADX,3,2026-01-26 00:00:00
ACP,3,2026-02-04 00:00:00
HWM,3,2026-01-15 00:00:00
ANDE,3,2026-01-15 00:00:00
BOE,3,2026-01-13 00:00:00
SOHU,3,2026-01-12 00:00:00
EDF,3,2026-02-05 00:00:00
DMB,3,2026-01-12 00:00:00
FLC,3,2026-02-05 00:00:00
EHI,3,2026-02-02 00:00:00
EOD,3,2026-02-02 00:00:00
ETG,3,2026-02-02 00:00:00
JPC,3,2026-02-06 00:00:00
LYG,3,2026-01-27 00:00:00
NVG,3,2026-01-14 00:00:00
RA,3,2026-02-06 00:00:00
ILMN,3,2026-01-07 00:00:00
HAS,3,2026-01-08 00:00:00
CAT,3,2026-01-15 00:00:00
FORM,3,2026-01-09 00:00:00
ASML,3,2026-01-09 00:00:00
OMCL,3,2026-01-13 00:00:00
BCV,3,2026-01-28 00:00:00
MAR,3,2026-01-09 00:00:00
KALU,3,2026-01-14 00:00:00
PH,3,2026-01-15 00:00:00
RF,3,2026-01-08 00:00:00
ADI,3,2026-01-09 00:00:00
ESCA,3,2026-01-22 00:00:00
OXSQG,3,2026-01-30 00:00:00
AU,3,2026-01-20 00:00:00
DRTS,3,2026-01-07 00:00:00
BMY,3,2026-01-14 00:00:00
CVCO,3,2026-01-12 00:00:00
OXLCN,3,2026-01-14 00:00:00
